fid,districtID,districtID_old,nameID,district_en,provinceID,province,islandID,island,district_bahasa,gs_2010,gs_2011,gs_2012,gs_2013,gs_2014,gs_2015,gs_2016,gs_2017,gs_2018,gs_2019,gs_2020,gs_2021,gs_2022,gs_2023,gs_2024,gs_2025
51,1273,1273,kotapematangsiantar,Pematang Siantar City,12,Sumatera Utara,1,Sumatera,Kota Pematang Siantar,672.36,718.22,765.09,813.41,870.18,893.85,895.21,934.67,966.55,973.74,969.33,978.54,978.18,1038.51,1100.74,1114.63
52,1274,1274,kotatebingtinggi,Tebing Tinggi City,12,Sumatera Utara,1,Sumatera,Kota Tebing Tinggi,424.35,445.12,471.21,493.63,521.13,545.31,564.13,585.94,624.14,625.96,623.16,641.16,632.57,659.64,665.87,672.98
53,1275,1275,kotamedan,Medan City,12,Sumatera Utara,1,Sumatera,Kota Medan,4131.01,4206.15,4281.74,4356.43,4571.89,4694.68,4593.36,4833.55,5286,5304.15,5194.42,5415.58,5213.43,5285.6,5479.83,5442.96
54,1276,1276,kotabinjai,Binjai City,12,Sumatera Utara,1,Sumatera,Kota Binjai,574.12,572.68,574.14,574.43,575.45,577.16,577.3,578.42,594.95,605.63,652.98,672.61,668.81,690.14,751.93,768.23
55,1277,1277,kotapadangsidimpuan,Padangsidempuan City,12,Sumatera Utara,1,Sumatera,Kota Padangsidimpuan,561.73,617.11,702.44,717.08,736.52,763.84,759.95,805.84,824.6,830.24,829.63,829.29,819.74,837.12,858.08,856.16
56,1278,1278,kotagunungsitoli,Gunungsitoli City,12,Sumatera Utara,1,Sumatera,Kota Gunungsitoli,194.11,205.76,218.25,231.57,247.04,262.84,273.36,285.11,298.66,314.76,309.28,309.21,308.96,326.45,334.75,333.05
57,1301,1301,kepulauanmentawai,Mentawai Islands,13,Sumatera Barat,1,Sumatera,Kepulauan Mentawai,388.59,393.84,405.37,420.82,432.13,473.74,474.33,475.34,495.45,520.55,473.89,479.94,474.27,474.68,482.69,480.26
58,1302,1302,pesisirselatan,South Pesisir,13,Sumatera Barat,1,Sumatera,Pesisir Selatan,809.7,821.48,844.7,879.73,900.2,981.59,990.68,983.46,1027.55,1080.2,984.4,985.33,965.68,966.78,977.36,964.66
59,1303,1303,solok,Solok,13,Sumatera Barat,1,Sumatera,Solok,712.88,723.55,750.5,794.27,801.43,872.59,876.62,878.82,917.57,965.16,878.45,880.76,877.49,894.69,902.94,886.8
60,1304,1304,sijunjung,Sijunjung,13,Sumatera Barat,1,Sumatera,Sijunjung,473.51,482.22,494.05,520.42,526.92,575.19,581.58,582.51,605.04,634.07,572.45,579.25,565.56,581.12,581.44,573.2
61,1305,1305,tanahdatar,Tanah Datar,13,Sumatera Barat,1,Sumatera,Tanah Datar,777.35,790.07,812.6,843.61,867.3,935.18,936.71,933.43,972.42,1022.18,928.88,934.38,934.27,941.33,959.77,941.2
62,1306,1306,padangpariaman,Padang Pariaman,13,Sumatera Barat,1,Sumatera,Padang Pariaman,855.53,868.69,899.73,946.02,959.28,1049.98,1062.93,1066.42,1103.89,1150.72,1048.91,1088.62,1048.73,1064.96,1084,1069.56
63,1307,1307,agam,Agam,13,Sumatera Barat,1,Sumatera,Agam,839.08,855.41,875.54,924.93,938.07,1022.55,1030.66,1016.14,1047.19,1087.5,986.25,994.67,972.98,992.7,1009.1,990.89
64,1308,1308,limapuluhkota,Lima Puluh Kota,13,Sumatera Barat,1,Sumatera,Lima Puluh Kota,690.31,704.41,720.63,759.91,776.35,857.34,863.15,852.81,890.01,937.18,851.6,863.13,846.12,848,858.45,856.08
65,1309,1309,pasaman,Pasaman,13,Sumatera Barat,1,Sumatera,Pasaman,519.66,530.36,544.82,575.91,588.13,642.69,652.02,647.68,675.99,707.68,643.8,644.78,640.58,650.34,657.12,643.85
66,1310,1310,solokselatan,South Solok,13,Sumatera Barat,1,Sumatera,Solok Selatan,313.43,320.18,330.7,347.61,360.99,398.97,401.19,401.58,421.89,445.43,405.38,401.61,391.13,393.76,393.8,377.23
67,1311,1311,dharmasraya,Dharmasraya,13,Sumatera Barat,1,Sumatera,Dharmasraya,466.98,475.53,485.77,506.52,510.77,559.64,565.72,563.6,586.4,613.88,560.96,577.67,597.21,606.3,623.86,619.02
68,1312,1312,pasamanbarat,West Pasaman,13,Sumatera Barat,1,Sumatera,Pasaman Barat,681.05,692.63,717.37,759.26,764.57,844.5,855.13,848.72,884.82,930.82,847.5,851.57,834.97,838.24,852.3,843.98
69,1371,1371,kotapadang,Padang City,13,Sumatera Barat,1,Sumatera,Kota Padang,4485.1,4537.23,4688.13,4907.56,5038.89,5461.27,5506.23,5553.92,5811.25,6168.21,5661.64,5595.2,5250.02,5290.13,5328.28,5087.06
70,1372,1372,kotasolok,Solok City,13,Sumatera Barat,1,Sumatera,Kota Solok,336.75,344.25,355.85,375.32,377.53,409.86,410.9,411.56,428.49,448.62,408.42,412.64,406.77,412.34,413.83,408.97
71,1373,1373,kotasawahlunto,Sawahlunto City,13,Sumatera Barat,1,Sumatera,Kota Sawah Lunto,338.17,343.78,351.75,365.91,375.89,413.94,416.03,411.26,429.01,448.19,406.04,416.59,403.8,403.83,410.72,410.24
72,1374,1374,kotapadangpanjang,Padang Panjang City,13,Sumatera Barat,1,Sumatera,Kota Padang Panjang,322.95,327.25,336.32,351.69,360.35,399.05,399.51,393.43,408.29,425.91,385.59,388.3,383.16,384.14,384.38,380.38
73,1375,1375,kotabukittinggi,Bukittinggi City,13,Sumatera Barat,1,Sumatera,Kota Bukittinggi,544.34,551.88,572.55,599.19,620.4,676.48,681.17,676.98,709.14,751.14,702,708.91,681.24,682.37,685.38,672.68
74,1376,1376,kotapayakumbuh,Payakumbuh City,13,Sumatera Barat,1,Sumatera,Kota Payakumbuh,410.17,418.84,430.95,451.82,456.47,505.14,510.09,513.22,535.31,560.91,514.84,528.02,508.06,531.93,540.69,535.57
75,1377,1377,kotapariaman,Pariaman City,13,Sumatera Barat,1,Sumatera,Kota Pariaman,332.56,340.45,349.39,365.28,379.84,413.7,418.5,419.05,430.82,450.5,410.53,417.78,411.07,413.44,415.05,414.27
76,1401,1401,kuantansingingi,Kuantan Singingi,14,Riau,1,Sumatera,Kuantan Singingi,720.73,783.07,793.9,839.05,819.25,848.86,858.07,860.45,860.88,871.47,785.98,738.58,749.96,768.85,804.61,779.38
